xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,class
2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,T
5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,I
4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,D
7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,N
2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,G
4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,S
4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,B
1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,A
2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,J
11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,M
3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,X
6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,O
4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,G
6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,M
5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,R
6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,F
3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,O
7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,C
6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,T
2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,J
1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,J
4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,H
3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,S
6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,O
3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,J
6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,C
7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,M
12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,W
6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,H
3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,G
2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,L
1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,L
8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,X
5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,B
6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,M
4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,G
4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,O
3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,P
4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,G
3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,E
5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,X
3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,E
4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,X
4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,G
7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,V
4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,X
